Fecha,Producto,Región,Ventas
2024-04-12,C,Oeste,185
2024-12-14,A,Norte,280
2024-09-27,D,Sur,57
2024-04-16,C,Sur,493
2024-03-12,A,Centro,377
2024-07-07,B,Oeste,424
2024-01-21,A,Este,339
2024-04-12,D,Sur,300
2024-05-01,D,Oeste,449
2024-08-02,D,Norte,410
2024-11-26,D,Centro,446
2024-03-28,D,Norte,136
2024-04-09,C,Sur,253
2024-12-25,D,Sur,268
2024-05-31,C,Norte,455
2024-05-10,B,Sur,290
2024-05-29,D,Oeste,460
2024-11-04,D,Sur,369
2024-09-14,A,Centro,307
2024-12-09,B,Oeste,158
2024-10-20,D,Este,305
2024-07-10,D,Sur,331
2024-10-03,B,Sur,269
2024-06-09,C,Centro,132
2024-11-09,D,Centro,156
2024-01-22,A,Norte,118
2024-09-09,D,Norte,146
2024-08-23,A,Norte,261
2024-12-10,A,Centro,335
2024-02-18,D,Norte,286
2024-02-28,D,Norte,57
2024-06-18,A,Este,343
2024-07-06,B,Norte,238
2024-09-27,B,Sur,130
2024-07-08,D,Centro,157
2024-06-23,C,Oeste,370
2024-02-20,B,Este,116
2024-12-29,D,Centro,223
2024-02-24,B,Centro,395
2024-08-31,C,Sur,400
2024-11-15,D,Norte,377
2024-05-10,C,Sur,92
2024-11-02,D,Norte,236
2024-05-14,C,Norte,351
2024-01-21,B,Centro,249
2024-11-24,B,Norte,430
2024-06-15,C,Este,468
2024-09-30,C,Este,88
2024-03-29,C,Este,269
2024-11-11,D,Centro,356
2024-01-14,B,Sur,53
2024-08-29,D,Oeste,170
2024-09-21,B,Norte,385
2024-12-11,A,Oeste,126
2024-02-22,D,Sur,228
2024-12-05,B,Sur,182
2024-04-01,B,Centro,360
2024-09-20,D,Este,278
2024-02-04,D,Este,325
2024-07-24,B,Sur,201
2024-03-21,D,Centro,213
2024-02-19,C,Centro,339
2024-12-25,D,Norte,427
2024-01-02,D,Este,158
2024-02-23,D,Sur,175
2024-04-15,B,Oeste,289
2024-09-16,C,Este,359
2024-11-05,A,Norte,467
2024-07-09,A,Centro,450
2024-08-05,C,Sur,438
2024-02-13,C,Este,394
2024-06-10,C,Oeste,195
2024-07-20,B,Norte,301
2024-09-26,A,Norte,232
2024-12-16,C,Este,358
2024-10-30,B,Oeste,355
2024-09-27,A,Norte,121
2024-08-02,D,Sur,268
2024-09-08,B,Norte,256
2024-07-08,A,Oeste,222
2024-10-22,B,Centro,190
2024-07-31,A,Centro,321
2024-07-26,A,Este,263
2024-08-24,D,Oeste,318
2024-12-03,B,Norte,69
2024-02-22,C,Norte,115
2024-10-06,D,Centro,352
2024-08-04,D,Centro,196
2024-09-08,A,Sur,478
2024-07-06,C,Centro,214
2024-02-10,B,Sur,427
2024-06-05,C,Norte,359
2024-01-15,C,Sur,55
2024-10-27,C,Sur,63
2024-03-05,C,Este,181
2024-12-10,C,Centro,391
2024-11-22,A,Sur,292
2024-01-09,A,Norte,488
2024-12-09,D,Oeste,280
2024-05-08,A,Sur,277
2024-05-15,D,Centro,211
2024-03-03,D,Este,332
2024-05-18,B,Norte,312
2024-03-21,C,Este,180
2024-06-11,A,Oeste,480
2024-10-15,B,Sur,274
2024-09-17,A,Sur,307
2024-08-18,D,Centro,283
2024-02-10,A,Sur,385
2024-01-28,C,Norte,458
2024-05-14,D,Oeste,365
2024-07-19,D,Este,73
2024-11-23,B,Oeste,320
2024-09-24,C,Sur,144
2024-02-02,D,Este,191
2024-02-17,C,Centro,231
2024-03-02,A,Oeste,255
2024-08-03,C,Este,439
2024-10-19,D,Este,130
2024-04-08,B,Este,323
2024-06-20,D,Norte,325
2024-12-25,C,Oeste,420
2024-08-01,C,Este,495
2024-02-04,D,Oeste,257
2024-08-14,C,Este,345
2024-04-10,A,Centro,88
2024-05-10,D,Centro,485
2024-09-13,B,Centro,337
2024-01-05,D,Sur,173
2024-08-05,A,Este,413
2024-09-11,A,Sur,332
2024-12-24,A,Oeste,415
2024-10-09,A,Sur,229
2024-07-25,A,Oeste,146
2024-01-15,B,Oeste,240
2024-12-11,C,Oeste,123
2024-02-11,A,Sur,496
2024-06-27,A,Este,322
2024-03-03,D,Sur,98
2024-12-17,B,Este,386
2024-08-18,B,Este,259
2024-08-28,C,Oeste,165
2024-02-21,B,Sur,72
2024-04-05,D,Este,147
2024-08-09,D,Centro,377
2024-08-18,C,Este,446
2024-08-24,D,Centro,456
2024-05-22,A,Sur,362
2024-06-19,A,Sur,239
2024-01-29,D,Sur,231
2024-02-05,C,Este,197
2024-01-13,B,Norte,391
2024-06-08,C,Este,485
2024-11-22,B,Este,72
2024-07-05,D,Oeste,154
2024-08-30,D,Oeste,212
2024-03-26,A,Este,116
2024-10-10,B,Centro,339
2024-03-06,C,Oeste,338
2024-06-18,D,Este,95
2024-02-14,C,Norte,130
2024-03-02,A,Centro,478
2024-05-13,B,Sur,196
2024-10-10,B,Este,271
2024-01-28,D,Este,392
2024-04-17,B,Centro,64
2024-02-13,D,Oeste,428
2024-12-05,A,Oeste,170
2024-10-12,B,Oeste,127
2024-11-26,D,Sur,371
2024-05-07,C,Centro,344
2024-12-13,D,Centro,290
2024-08-18,B,Oeste,67
2024-07-08,A,Oeste,305
2024-08-12,B,Norte,492
2024-10-09,B,Norte,465
2024-04-30,D,Este,326
2024-04-25,C,Este,473
2024-08-20,B,Centro,76
2024-09-15,C,Centro,51
2024-12-24,D,Sur,402
2024-07-16,C,Sur,344
2024-05-16,D,Norte,361
2024-11-13,A,Este,412
2024-06-13,C,Norte,432
2024-08-12,C,Norte,288
2024-11-02,A,Este,62
2024-08-21,C,Sur,431
2024-06-20,A,Este,233
2024-05-31,B,Oeste,243
2024-11-10,D,Oeste,105
2024-06-08,A,Oeste,279
2024-04-05,C,Centro,77
2024-08-20,A,Sur,369
2024-06-28,C,Sur,120
2024-04-22,B,Centro,259
